Time,SwapValue,Delta
0.0,4.869528731452384,-3.4871343667169534
0.0847457627118644,4.574008869866201,-2.3581314570249816
0.1694915254237288,4.469845433651539,-1.2167466360485442
0.2542372881355932,4.367780626468143,-3.1277482947770245
0.3389830508474576,3.9397186040283145,-3.747238251568014
0.423728813559322,3.7326554990837337,-1.2986362046234774
0.5084745762711864,3.7196107727361998,-1.8154829539985293
0.5932203389830508,3.424946523829746,-3.6597821042984684
0.6779661016949152,3.099308721160188,-2.5850063274135344
0.7627118644067796,2.986809858166435,-2.3649634800740014
0.847457627118644,2.6984674533510358,-2.8841492259392414
0.9322033898305084,2.4979710063123264,-2.056837294624229
1.0169491525423728,2.3498509627367596,-2.8809512265723214
1.1016949152542372,2.009674188249221,-3.0603263201349478
1.1864406779661016,1.8311515864427008,-1.806053009436006
1.271186440677966,1.7035635086837964,-2.015668556612132
1.3559322033898304,1.4895128480338649,-2.085581453247877
1.4406779661016949,1.3500751267773765,-2.245669844362526
1.5254237288135593,1.1088908405147926,-2.6378552038927126
1.6101694915254237,0.9029810244226795,-1.926928881748891
1.694915254237288,0.7822927249641332,-2.0669881869574978
1.7796610169491525,0.5526440435824256,-2.455831008630025
1.8644067796610169,0.3660501811285357,-2.275912163039933
1.9491525423728813,0.16689621933836918,-2.251486706224929
2.0338983050847457,-0.015557735180774301,-2.205083192143583
2.11864406779661,-0.20684669458427152,-2.1557030593057047
2.2033898305084745,-0.38093113506309706,-2.2434342932823284
2.288135593220339,-0.5870897951405993,-2.190935262595958
2.3728813559322033,-0.7522760948251239,-2.0997487217776145
2.4576271186440675,-0.9429794090012109,-2.132257605707192
2.542372881355932,-1.1136756890127835,-2.645836265717686
2.6271186440677967,-1.391426233699125,-2.2818515841809397
2.711864406779661,-1.5004301948061638,-1.3915562244350745
2.796610169491525,-1.6272832208915098,-2.3870383826718378
2.8813559322033897,-1.9050129715302049,-1.9795408210278076
2.9661016949152543,-1.9627986142860543,-1.91730707624132
3.0508474576271185,-2.2299802725880546,-1.7045283258579147
3.1355932203389827,-2.2517017203636662,-1.3913283240151681
3.2203389830508473,-2.4657986325906265,-2.9887532915925057
3.305084745762712,-2.7582700748708717,-3.037768875834777
3.389830508474576,-2.980674713240589,-2.04498916889111
3.4745762711864403,-3.1048784085812287,-1.5618269593680374
3.559322033898305,-3.245391147031782,-1.7205347631381116
3.6440677966101696,-3.3964944701300617,-1.1249696229613733
3.7288135593220337,-3.4360639644828623,-1.6659702661989755
3.813559322033898,-3.678862311858701,-2.5762083632087602
3.8983050847457625,-3.8727094497724828,-3.200869834129552
3.983050847457627,-4.221382622728118,-2.510964815703801
4.067796610169491,-4.298296706671433,0.23210117229266913
4.1525423728813555,-4.182043440983598,-1.9179118923359582
4.23728813559322,-4.623366518931764,-2.952651207080212
4.322033898305085,-4.682492798115835,-1.0177565158546429
4.406779661016949,-4.795867623313907,-2.7121791410648015
4.491525423728813,-5.142184177957326,-3.3593179636022903
4.576271186440678,-5.365243549348193,-2.1626124566536298
4.661016949152542,-5.508728662135908,-0.06042782510352396
4.745762711864407,-5.375485553603028,-0.6077144860815906
4.830508474576271,-5.6117311174039735,-2.943895344601824
4.915254237288135,-5.874450866247404,-3.113304203207761
5.0,-6.139409795913764,-3.126515370063023
